"usage_id","customer_id","integration_id","timestamp","endpoint","method","status_code","response_time_ms","request_count","error_count","source_ip","user_agent"
1,1,1,"2026-06-07 11:07:00","/api/v2/orders","DELETE",200,2012,34,0,"142.139.145.167","curl/7.68.0"
2,1,1,"2026-07-25 10:48:00","/api/v2/customers","PUT",201,954,24,0,"173.233.231.70","Apache-HttpClient/4.5.13"
3,1,1,"2026-06-27 17:40:00","/api/v2/integrations","GET",200,1573,7,0,"36.144.137.33","Go-http-client/1.1"
4,1,1,"2026-08-27 16:55:00","/api/v2/inventory","PUT",200,3492,64,0,"89.255.190.119","PostmanRuntime/7.28.4"
5,1,1,"2026-07-17 21:07:00","/api/v2/products","PUT",200,3264,19,0,"28.240.92.50","SAP-Connector/1.2"
6,1,1,"2026-07-11 23:53:00","/api/v2/inventory","DELETE",404,3678,92,1,"73.17.101.118","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
7,1,1,"2026-06-23 02:47:00","/api/v2/webhooks","PUT",200,1349,88,0,"171.21.62.65","Go-http-client/1.1"
8,1,1,"2026-06-08 14:48:00","/api/v2/billing","POST",200,975,7,0,"70.222.166.4","WooCommerceAPI/3.0"
9,1,1,"2026-07-24 05:53:00","/api/v2/products","GET",200,4810,32,0,"210.243.79.96","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
10,1,1,"2026-07-28 18:29:00","/api/v2/shipments","GET",200,539,80,0,"101.78.54.33","Go-http-client/1.1"
11,1,1,"2026-07-30 13:25:00","/api/v2/shipments","DELETE",200,1630,97,0,"15.193.183.186","WooCommerceAPI/3.0"
12,1,1,"2026-07-27 22:29:00","/api/v2/webhooks","DELETE",200,1604,72,0,"155.95.178.83","Go-http-client/1.1"
13,1,1,"2026-07-24 04:02:00","/api/v2/orders","POST",201,3731,21,0,"85.134.187.117","PostmanRuntime/7.28.4"
14,1,1,"2026-06-08 07:36:00","/api/v2/users","PUT",200,2006,3,0,"92.32.198.49","curl/7.68.0"
15,1,1,"2026-06-02 08:11:00","/api/v2/webhooks","PUT",200,3407,79,0,"174.164.56.25","curl/7.68.0"
16,1,1,"2026-06-05 21:58:00","/api/v2/customers","GET",200,1705,17,0,"37.248.98.26","PostmanRuntime/7.28.4"
17,1,1,"2026-06-16 03:07:00","/api/v2/integrations","PUT",200,452,63,0,"103.113.36.4","Magento-API-Client/2.4"
18,1,1,"2026-06-06 08:01:00","/api/v2/analytics","GET",201,3006,11,0,"152.212.188.204","PostmanRuntime/7.28.4"
19,1,1,"2026-06-11 15:27:00","/api/v2/webhooks","GET",200,1818,10,0,"142.49.51.186","Magento-API-Client/2.4"
20,1,1,"2026-06-21 11:48:00","/api/v2/inventory","POST",200,4624,85,0,"201.212.54.197","Apache-HttpClient/4.5.13"
21,1,1,"2026-07-14 02:31:00","/api/v2/orders","POST",200,1527,55,0,"150.205.172.169","WooCommerceAPI/3.0"
22,1,1,"2026-06-21 04:32:00","/api/v2/integrations","PUT",400,3095,41,1,"115.220.165.156","Magento-API-Client/2.4"
23,1,1,"2026-06-17 06:47:00","/api/v2/settings","PUT",200,2999,71,0,"125.229.203.1","PostmanRuntime/7.28.4"
24,1,1,"2026-07-23 04:59:00","/api/v2/products","PUT",200,1867,39,0,"64.161.11.198","SAP-Connector/1.2"
25,1,1,"2026-06-19 07:25:00","/api/v2/customers","GET",200,359,74,0,"127.182.79.36","SAP-Connector/1.2"
26,1,1,"2026-07-13 05:45:00","/api/v2/orders","DELETE",200,4711,39,0,"65.39.166.203","Go-http-client/1.1"
27,1,1,"2026-08-06 08:08:00","/api/v2/users","GET",201,4926,90,0,"174.153.19.188","Apache-HttpClient/4.5.13"
28,1,1,"2026-07-11 21:11:00","/api/v2/shipments","PUT",200,3607,99,0,"116.61.116.192","Apache-HttpClient/4.5.13"
29,1,1,"2026-08-27 03:11:00","/api/v2/webhooks","GET",200,2665,7,0,"148.76.167.129","Magento-API-Client/2.4"
30,1,1,"2026-08-09 22:17:00","/api/v2/analytics","GET",200,1869,51,0,"120.148.201.38","WooCommerceAPI/3.0"
31,1,1,"2026-07-16 21:30:00","/api/v2/integrations","DELETE",200,2200,7,0,"31.204.222.199","WooCommerceAPI/3.0"
32,1,1,"2026-08-11 08:25:00","/api/v2/billing","POST",200,4647,51,0,"167.126.124.19","SAP-Connector/1.2"
33,1,1,"2026-07-04 13:17:00","/api/v2/orders","DELETE",400,3519,12,1,"103.178.97.83","Python-requests/2.28.1"
34,1,1,"2026-06-13 03:59:00","/api/v2/shipments","DELETE",200,1244,22,0,"122.22.119.52","Python-requests/2.28.1"
35,1,1,"2026-08-09 00:06:00","/api/v2/products","POST",200,1259,95,0,"219.147.7.88","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
36,1,1,"2026-07-20 09:30:00","/api/v2/settings","POST",200,1719,27,0,"149.132.247.160","WooCommerceAPI/3.0"
37,1,1,"2026-06-01 01:18:00","/api/v2/billing","GET",200,2142,75,0,"53.30.145.52","Apache-HttpClient/4.5.13"
38,1,1,"2026-07-25 22:31:00","/api/v2/orders","DELETE",200,2272,2,0,"179.184.55.5","SAP-Connector/1.2"
39,1,1,"2026-06-06 11:46:00","/api/v2/settings","GET",404,2634,66,1,"134.45.95.51","curl/7.68.0"
40,1,1,"2026-07-01 06:01:00","/api/v2/inventory","PUT",200,2782,6,0,"135.201.80.5","Python-requests/2.28.1"
41,1,1,"2026-06-02 12:38:00","/api/v2/integrations","PUT",200,557,31,0,"170.131.198.228","PostmanRuntime/7.28.4"
42,1,1,"2026-06-18 15:46:00","/api/v2/billing","POST",200,769,51,0,"196.195.116.107","Magento-API-Client/2.4"
43,1,1,"2026-06-16 19:33:00","/api/v2/shipments","DELETE",404,4491,78,1,"43.105.70.149","curl/7.68.0"
44,1,1,"2026-06-02 17:05:00","/api/v2/settings","POST",200,3573,89,0,"207.74.80.82","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
45,1,1,"2026-06-18 06:14:00","/api/v2/customers","GET",200,2660,41,0,"115.210.155.114","SAP-Connector/1.2"
46,1,1,"2026-08-09 17:54:00","/api/v2/users","PUT",200,4695,4,0,"166.118.118.60","PostmanRuntime/7.28.4"
47,1,1,"2026-07-14 21:16:00","/api/v2/integrations","DELETE",200,3113,18,0,"57.198.251.122","WooCommerceAPI/3.0"
48,1,1,"2026-08-08 17:46:00","/api/v2/products","PUT",200,3433,98,0,"66.103.104.17","WooCommerceAPI/3.0"
49,1,1,"2026-07-03 04:29:00","/api/v2/inventory","DELETE",200,3366,59,0,"208.21.194.185","Python-requests/2.28.1"
50,1,1,"2026-07-09 04:13:00","/api/v2/integrations","GET",200,4315,69,0,"37.231.233.212","PostmanRuntime/7.28.4"
51,1,2,"2026-06-23 06:35:00","/api/v2/integrations","DELETE",500,10456,6,1,"205.25.97.75","Go-http-client/1.1"
52,1,2,"2026-07-09 14:11:00","/api/v2/customers","DELETE",200,2461,60,0,"166.27.72.119","Go-http-client/1.1"
53,1,2,"2026-08-17 00:28:00","/api/v2/users","POST",200,3270,100,0,"115.165.230.7","WooCommerceAPI/3.0"
54,1,2,"2026-07-01 05:03:00","/api/v2/analytics","GET",200,2098,26,0,"92.83.63.24","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
55,1,2,"2026-05-30 09:20:00","/api/v2/settings","DELETE",200,4241,68,0,"166.81.193.141","Node.js/18.0.0"
56,1,2,"2026-08-23 18:02:00","/api/v2/customers","POST",200,1234,85,0,"55.26.214.79","SAP-Connector/1.2"
57,1,2,"2026-07-02 14:20:00","/api/v2/inventory","GET",200,2123,17,0,"13.234.254.219","Go-http-client/1.1"
58,1,2,"2026-06-20 23:22:00","/api/v2/inventory","DELETE",201,3767,31,0,"114.226.40.154","Apache-HttpClient/4.5.13"
59,1,2,"2026-08-28 16:04:00","/api/v2/billing","POST",200,450,80,0,"57.75.28.168","Python-requests/2.28.1"
60,1,2,"2026-08-24 19:06:00","/api/v2/users","PUT",200,2762,74,0,"32.25.55.107","WooCommerceAPI/3.0"
61,1,2,"2026-08-08 02:42:00","/api/v2/settings","POST",200,3780,89,0,"201.184.18.24","SAP-Connector/1.2"
62,1,2,"2026-07-18 12:03:00","/api/v2/reports","GET",200,2448,9,0,"130.68.62.178","SAP-Connector/1.2"
63,1,2,"2026-07-17 07:34:00","/api/v2/inventory","GET",200,945,90,0,"156.44.247.186","Apache-HttpClient/4.5.13"
64,1,2,"2026-05-30 14:33:00","/api/v2/webhooks","PUT",200,1112,41,0,"167.254.254.127","WooCommerceAPI/3.0"
65,1,2,"2026-06-11 16:15:00","/api/v2/products","GET",200,246,25,0,"129.60.106.205","Apache-HttpClient/4.5.13"
66,1,2,"2026-07-06 10:58:00","/api/v2/billing","POST",200,142,72,0,"173.103.144.66","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
67,1,2,"2026-07-20 14:28:00","/api/v2/products","GET",200,2780,99,0,"97.202.14.214","WooCommerceAPI/3.0"
68,1,2,"2026-08-04 13:07:00","/api/v2/analytics","DELETE",200,341,87,0,"175.69.246.40","Go-http-client/1.1"
69,1,2,"2026-06-21 13:31:00","/api/v2/settings","GET",200,4318,53,0,"86.161.9.54","Apache-HttpClient/4.5.13"
70,1,2,"2026-06-02 13:09:00","/api/v2/orders","POST",204,2347,46,0,"17.173.192.161","curl/7.68.0"
71,2,3,"2026-06-16 04:36:00","/api/v2/webhooks","PUT",200,309,15,0,"79.211.44.128","Magento-API-Client/2.4"
72,2,3,"2026-07-12 09:07:00","/api/v2/integrations","PUT",401,1483,28,1,"38.191.19.200","Magento-API-Client/2.4"
73,2,3,"2026-08-17 09:28:00","/api/v2/integrations","POST",200,1608,62,0,"97.247.158.199","Python-requests/2.28.1"
74,2,3,"2026-08-10 20:08:00","/api/v2/billing","POST",500,5361,67,1,"195.18.235.100","curl/7.68.0"
75,2,3,"2026-08-14 23:41:00","/api/v2/users","GET",400,2780,88,1,"129.23.52.134","SAP-Connector/1.2"
76,2,3,"2026-08-26 05:12:00","/api/v2/shipments","POST",200,1627,27,0,"83.141.163.198","Go-http-client/1.1"
77,2,3,"2026-06-04 20:43:00","/api/v2/orders","GET",200,4634,36,0,"141.52.105.139","Python-requests/2.28.1"
78,2,3,"2026-06-19 13:43:00","/api/v2/webhooks","POST",200,1453,91,0,"28.159.173.139","Go-http-client/1.1"
79,2,3,"2026-08-22 19:59:00","/api/v2/products","GET",200,3192,87,0,"23.44.218.101","WooCommerceAPI/3.0"
80,2,3,"2026-05-30 04:03:00","/api/v2/settings","DELETE",200,2963,89,0,"89.170.101.183","curl/7.68.0"
81,2,3,"2026-08-18 09:24:00","/api/v2/analytics","GET",200,3782,90,0,"89.238.240.60","Magento-API-Client/2.4"
82,2,3,"2026-08-10 04:44:00","/api/v2/customers","PUT",204,2710,51,0,"126.249.15.17","Go-http-client/1.1"
83,2,3,"2026-08-14 12:30:00","/api/v2/webhooks","PUT",200,4757,22,0,"42.52.207.210","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
84,2,3,"2026-07-18 06:19:00","/api/v2/integrations","DELETE",200,3333,39,0,"161.211.122.159","Magento-API-Client/2.4"
85,2,3,"2026-06-19 18:30:00","/api/v2/inventory","DELETE",200,3616,44,0,"155.175.120.45","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
86,2,4,"2026-06-16 08:53:00","/api/v2/shipments","GET",200,3697,60,0,"55.157.207.18","Apache-HttpClient/4.5.13"
87,2,4,"2026-08-15 02:08:00","/api/v2/shipments","DELETE",200,553,49,0,"33.111.71.228","Apache-HttpClient/4.5.13"
88,2,4,"2026-06-08 23:12:00","/api/v2/analytics","PUT",200,3244,20,0,"167.228.100.53","Python-requests/2.28.1"
89,2,4,"2026-07-21 05:10:00","/api/v2/reports","PUT",204,781,39,0,"159.4.206.217","WooCommerceAPI/3.0"
90,2,4,"2026-07-22 22:37:00","/api/v2/products","PUT",204,948,7,0,"82.15.120.111","Apache-HttpClient/4.5.13"
91,2,4,"2026-07-09 03:40:00","/api/v2/reports","DELETE",200,4515,52,0,"64.88.243.36","Magento-API-Client/2.4"
92,2,4,"2026-06-18 11:07:00","/api/v2/customers","PUT",400,1078,54,1,"44.5.36.166","PostmanRuntime/7.28.4"
93,2,4,"2026-08-10 00:04:00","/api/v2/customers","GET",200,1174,56,0,"174.212.233.229","Apache-HttpClient/4.5.13"
94,2,4,"2026-07-05 04:49:00","/api/v2/integrations","DELETE",200,3201,55,0,"100.115.95.109","Apache-HttpClient/4.5.13"
95,2,4,"2026-08-28 05:29:00","/api/v2/settings","PUT",200,3415,31,0,"149.187.17.251","PostmanRuntime/7.28.4"
96,2,4,"2026-06-17 08:15:00","/api/v2/analytics","GET",200,1213,75,0,"196.143.238.133","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
97,2,4,"2026-06-23 04:55:00","/api/v2/settings","GET",200,4467,81,0,"214.159.27.232","Python-requests/2.28.1"
98,2,4,"2026-06-21 23:30:00","/api/v2/users","PUT",200,3498,61,0,"100.150.148.43","PostmanRuntime/7.28.4"
99,2,4,"2026-06-01 04:13:00","/api/v2/webhooks","GET",200,3926,73,0,"158.86.26.169","SAP-Connector/1.2"
100,2,4,"2026-06-10 23:42:00","/api/v2/integrations","GET",200,2326,17,0,"74.67.143.71","SAP-Connector/1.2"
101,2,4,"2026-08-27 00:53:00","/api/v2/settings","POST",200,3708,76,0,"104.89.133.201","Magento-API-Client/2.4"
102,2,4,"2026-06-27 18:09:00","/api/v2/shipments","GET",200,1238,5,0,"162.78.253.193","Node.js/18.0.0"
103,2,4,"2026-07-10 16:18:00","/api/v2/customers","POST",200,4782,82,0,"197.176.27.165","SAP-Connector/1.2"
104,2,4,"2026-08-14 22:50:00","/api/v2/webhooks","DELETE",200,4412,61,0,"69.194.199.122","SAP-Connector/1.2"
105,2,4,"2026-08-10 07:05:00","/api/v2/analytics","DELETE",200,2636,37,0,"145.21.49.235","curl/7.68.0"
106,2,4,"2026-06-08 12:06:00","/api/v2/webhooks","PUT",200,2264,84,0,"78.50.130.168","Apache-HttpClient/4.5.13"
107,2,4,"2026-07-09 09:11:00","/api/v2/settings","POST",200,4309,31,0,"96.92.160.141","PostmanRuntime/7.28.4"
108,2,4,"2026-06-03 23:07:00","/api/v2/orders","GET",200,3703,53,0,"99.112.145.65","Magento-API-Client/2.4"
109,2,4,"2026-08-24 23:21:00","/api/v2/billing","POST",200,4960,77,0,"173.62.61.23","Apache-HttpClient/4.5.13"
110,2,4,"2026-08-12 11:18:00","/api/v2/users","POST",200,958,83,0,"188.94.129.76","Go-http-client/1.1"
111,2,4,"2026-06-05 21:20:00","/api/v2/reports","PUT",200,2158,36,0,"51.37.141.199","PostmanRuntime/7.28.4"
112,2,4,"2026-07-11 11:39:00","/api/v2/webhooks","POST",503,9218,34,1,"27.251.102.157","Node.js/18.0.0"
113,2,4,"2026-08-06 03:29:00","/api/v2/reports","POST",200,920,70,0,"123.132.52.9","Mozilla/5.0 (compatible; ShopifyAPI/2023-01)"
114,2,4,"2026-08-19 05:14:00","/api/v2/products","DELETE",200,1269,58,0,"177.0.19.171","Node.js/18.0.0"
115,2,4,"2026-07-25 19:16:00","/api/v2/users","GET",200,4272,51,0,"191.251.244.112","Node.js/18.0.0"
116,2,4,"2026-08-20 06:46:00","/api/v2/analytics","GET",200,4696,89,0,"147.183.170.175","SAP-Connector/1.2"
117,2,4,"2026-07-08 22:20:00","/api/v2/orders","PUT",503,10759,83,1,"97.41.235.195","SAP-Connector/1.2"
118,2,4,"2026-06-07 17:49:00","/api/v2/billing","POST",200,2498,50,0,"188.199.54.162","Python-requests/2.28.1"
119,2,4,"2026-06-27 21:04:00","/api/v2/inventory","POST",200,342,95,0,"59.12.122.126","Node.js/18.0.0"
120,2,4,"2026-08-20 06:19:00","/api/v2/analytics","GET",200,353,69,0,"96.28.172.202","PostmanRuntime/7.28.4"
121,2,4,"2026-07-08 20:47:00","/api/v2/integrations","DELETE",200,4445,86,0,"48.119.36.10","WooCommerceAPI/3.0"
122,2,4,"2026-06-27 03:59:00","/api/v2/products","POST",200,1119,80,0,"13.88.25.232","SAP-Connector/1.2"
123,2,4,"2026-08-16 09:21:00","/api/v2/orders","GET",200,985,76,0,"137.112.32.206","Magento-API-Client/2.4"
124,2,4,"2026-07-05 13:09:00","/api/v2/billing","DELETE",200,2706,95,0,"40.70.164.215","Magento-API-Client/2.4"
