"payment_id","customer_id","subscription_id","invoice_id","payment_date","amount","currency","payment_method","payment_status","billing_period_start","billing_period_end","failure_reason"
1,1,1,"INV-2021-01-1-1","2021-05-04","5990.04","EUR","PayPal","Paid","2021-04-29","2022-04-28",""
2,1,1,"INV-2021-02-1-2","2022-05-03","5990.04","EUR","PayPal","Paid","2022-04-29","2023-04-28",""
3,1,1,"INV-2021-03-1-3","2023-05-04","5990.04","EUR","SEPA Direct Debit","Paid","2023-04-29","2024-04-27",""
4,1,1,"INV-2021-04-1-4","2024-05-03","5990.04","EUR","SEPA Direct Debit","Paid","2024-04-28","2025-04-27",""
5,1,1,"INV-2021-05-1-5","2025-04-30","5990.04","EUR","Bank Transfer","Paid","2025-04-28","2026-04-27",""
6,1,1,"INV-2021-06-1-6","2026-04-30","5990.04","EUR","Bank Transfer","Paid","2026-04-28","2027-04-27",""
7,2,2,"INV-2021-01-2-1","2023-01-08","2990.04","EUR","PayPal","Paid","2023-01-07","2024-01-06",""
8,2,2,"INV-2021-02-2-2","2024-01-09","2990.04","EUR","SEPA Direct Debit","Paid","2024-01-07","2025-01-05",""
9,2,2,"INV-2021-03-2-3","2025-01-06","2990.04","EUR","SEPA Direct Debit","Paid","2025-01-06","2026-01-05",""
10,2,2,"INV-2021-04-2-4","2026-01-07","2990.04","EUR","SEPA Direct Debit","Paid","2026-01-06","2027-01-05",""
11,3,3,"INV-2021-01-3-1","2021-08-25","269.10","EUR","Bank Transfer","Paid","2021-08-25","2021-09-23",""
12,3,3,"INV-2021-02-3-2","2021-09-26","269.10","EUR","Card","Paid","2021-09-24","2021-10-23",""
13,3,3,"INV-2021-03-3-3","2021-10-28","269.10","EUR","Bank Transfer","Paid","2021-10-24","2021-11-22",""
14,3,3,"INV-2021-04-3-4","2021-11-28","269.10","EUR","PayPal","Paid","2021-11-23","2021-12-22",""
15,3,3,"INV-2021-05-3-5","2021-12-23","269.10","EUR","SEPA Direct Debit","Paid","2021-12-23","2022-01-21",""
16,3,3,"INV-2021-06-3-6","2022-01-25","269.10","EUR","SEPA Direct Debit","Paid","2022-01-22","2022-02-20",""
17,3,3,"INV-2021-07-3-7","2022-02-22","269.10","EUR","SEPA Direct Debit","Pending","2022-02-21","2022-03-22",""
18,3,3,"INV-2021-08-3-8","2022-03-26","269.10","EUR","Card","Paid","2022-03-23","2022-04-21",""
19,3,3,"INV-2021-09-3-9","2022-04-25","269.10","EUR","Card","Paid","2022-04-22","2022-05-21",""
20,3,3,"INV-2021-10-3-10","2022-05-23","269.10","EUR","SEPA Direct Debit","Paid","2022-05-22","2022-06-20",""
21,3,3,"INV-2021-11-3-11","2022-06-21","269.10","EUR","Card","Refunded","2022-06-21","2022-07-20","Customer Requested Refund"
22,3,3,"INV-2021-12-3-12","2022-07-25","269.10","EUR","Bank Transfer","Paid","2022-07-21","2022-08-19",""
23,3,3,"INV-2022-01-3-13","2022-08-24","269.10","EUR","PayPal","Paid","2022-08-20","2022-09-18",""
24,3,3,"INV-2022-02-3-14","2022-09-21","269.10","EUR","PayPal","Paid","2022-09-19","2022-10-18",""
25,3,3,"INV-2022-03-3-15","2022-10-21","269.10","EUR","Card","Paid","2022-10-19","2022-11-17",""
26,3,3,"INV-2022-04-3-16","2022-11-22","269.10","EUR","Card","Pending","2022-11-18","2022-12-17",""
27,3,3,"INV-2022-05-3-17","2022-12-19","269.10","EUR","SEPA Direct Debit","Paid","2022-12-18","2023-01-16",""
28,3,3,"INV-2022-06-3-18","2023-01-22","269.10","EUR","Bank Transfer","Paid","2023-01-17","2023-02-15",""
29,3,3,"INV-2022-07-3-19","2023-02-17","269.10","EUR","Bank Transfer","Paid","2023-02-16","2023-03-17",""
30,3,3,"INV-2022-08-3-20","2023-03-18","269.10","EUR","PayPal","Paid","2023-03-18","2023-04-16",""
31,3,3,"INV-2022-09-3-21","2023-04-19","269.10","EUR","SEPA Direct Debit","Paid","2023-04-17","2023-05-16",""
32,3,3,"INV-2022-10-3-22","2023-05-22","269.10","EUR","PayPal","Paid","2023-05-17","2023-06-15",""
33,3,3,"INV-2022-11-3-23","2023-06-16","269.10","EUR","SEPA Direct Debit","Paid","2023-06-16","2023-07-15",""
34,3,3,"INV-2022-12-3-24","2023-07-21","269.10","EUR","Bank Transfer","Paid","2023-07-16","2023-08-14",""
35,4,4,"INV-2021-01-4-1","2022-07-26","13599.96","EUR","Bank Transfer","Paid","2022-07-23","2023-07-22",""
36,4,4,"INV-2021-02-4-2","2023-07-28","13599.96","EUR","SEPA Direct Debit","Paid","2023-07-23","2024-07-21",""
37,4,4,"INV-2021-03-4-3","2024-07-23","13599.96","EUR","Bank Transfer","Paid","2024-07-22","2025-07-21",""
38,4,4,"INV-2021-04-4-4","2025-07-24","13599.96","EUR","SEPA Direct Debit","Paid","2025-07-22","2026-07-21",""
39,4,4,"INV-2021-05-4-5","2026-07-25","13599.96","EUR","SEPA Direct Debit","Paid","2026-07-22","2027-07-21",""
40,5,5,"INV-2021-01-5-1","2021-09-24","299.00","EUR","SEPA Direct Debit","Paid","2021-09-19","2021-10-18",""
41,5,5,"INV-2021-02-5-2","2021-10-23","299.00","EUR","PayPal","Paid","2021-10-19","2021-11-17",""
42,5,5,"INV-2021-03-5-3","2021-11-18","299.00","EUR","PayPal","Paid","2021-11-18","2021-12-17",""
43,5,5,"INV-2021-04-5-4","2021-12-23","299.00","EUR","SEPA Direct Debit","Paid","2021-12-18","2022-01-16",""
44,5,5,"INV-2021-05-5-5","2022-01-17","299.00","EUR","Card","Paid","2022-01-17","2022-02-15",""
45,5,5,"INV-2021-06-5-6","2022-02-21","299.00","EUR","Card","Paid","2022-02-16","2022-03-17",""
46,5,5,"INV-2021-07-5-7","2022-03-19","299.00","EUR","PayPal","Paid","2022-03-18","2022-04-16",""
47,5,5,"INV-2021-08-5-8","2022-04-19","299.00","EUR","PayPal","Paid","2022-04-17","2022-05-16",""
48,5,5,"INV-2021-09-5-9","2022-05-22","299.00","EUR","Card","Paid","2022-05-17","2022-06-15",""
49,5,5,"INV-2021-10-5-10","2022-06-19","299.00","EUR","SEPA Direct Debit","Paid","2022-06-16","2022-07-15",""
50,5,5,"INV-2021-11-5-11","2022-07-18","299.00","EUR","Bank Transfer","Paid","2022-07-16","2022-08-14",""
51,5,5,"INV-2021-12-5-12","2022-08-17","299.00","EUR","PayPal","Paid","2022-08-15","2022-09-13",""
52,5,5,"INV-2022-01-5-13","2022-09-16","299.00","EUR","PayPal","Paid","2022-09-14","2022-10-13",""
53,5,5,"INV-2022-02-5-14","2022-10-18","299.00","EUR","Card","Paid","2022-10-14","2022-11-12",""
54,5,5,"INV-2022-03-5-15","2022-11-15","299.00","EUR","Card","Paid","2022-11-13","2022-12-12",""
55,5,5,"INV-2022-04-5-16","2022-12-16","299.00","EUR","Card","Paid","2022-12-13","2023-01-11",""
56,5,5,"INV-2022-05-5-17","2023-01-17","299.00","EUR","PayPal","Paid","2023-01-12","2023-02-10",""
57,5,5,"INV-2022-06-5-18","2023-02-14","299.00","EUR","SEPA Direct Debit","Paid","2023-02-11","2023-03-12",""
58,5,5,"INV-2022-07-5-19","2023-03-17","299.00","EUR","PayPal","Paid","2023-03-13","2023-04-11",""
59,5,5,"INV-2022-08-5-20","2023-04-12","299.00","EUR","Bank Transfer","Paid","2023-04-12","2023-05-11",""
60,5,5,"INV-2022-09-5-21","2023-05-14","299.00","EUR","PayPal","Paid","2023-05-12","2023-06-10",""
61,5,5,"INV-2022-10-5-22","2023-06-11","299.00","EUR","Bank Transfer","Paid","2023-06-11","2023-07-10",""
62,5,5,"INV-2022-11-5-23","2023-07-16","299.00","EUR","Card","Paid","2023-07-11","2023-08-09",""
63,5,5,"INV-2022-12-5-24","2023-08-14","299.00","EUR","Bank Transfer","Paid","2023-08-10","2023-09-08",""
