"subscription_id","customer_id","plan_id","billing_cycle","start_date","renewal_date","subscription_status","seats","monthly_recurring_revenue","discount_percent","end_date"
1,1,4,"Annual","2021-04-29","2022-04-29","Active",2,"499.17","0.00","0000-00-00"
2,2,3,"Annual","2023-01-07","2024-01-07","Active",8,"249.17","0.00","0000-00-00"
3,3,3,"Monthly","2021-08-25","2021-09-24","Active",9,"269.10","10.00","0000-00-00"
4,4,6,"Annual","2022-07-23","2023-07-23","Active",185,"1133.33","15.00","0000-00-00"
5,5,3,"Monthly","2021-09-19","2021-10-19","Active",3,"299.00","0.00","0000-00-00"
6,6,5,"Monthly","2022-01-07","2022-02-06","Active",32,"949.05","5.00","0000-00-00"
7,7,4,"Monthly","2022-02-13","2022-03-15","Active",8,"599.00","0.00","0000-00-00"
8,8,3,"Monthly","2021-03-18","2021-04-17","Active",4,"284.05","5.00","0000-00-00"
9,9,1,"Annual","2022-07-31","2023-07-31","Active",1,"0.00","0.00","0000-00-00"
10,10,2,"Monthly","2023-06-05","2023-06-28","Past Due",2,"99.00","0.00","0000-00-00"
11,11,1,"Monthly","2022-08-07","2022-09-06","Active",2,"0.00","0.00","0000-00-00"
12,12,3,"Monthly","2023-01-23","2023-02-22","Active",7,"299.00","0.00","0000-00-00"
13,13,3,"Monthly","2023-03-31","2023-04-30","Active",1,"299.00","0.00","0000-00-00"
14,14,6,"Annual","2021-09-16","2022-09-16","Active",123,"1333.33","0.00","0000-00-00"
15,15,5,"Monthly","2023-06-25","2023-07-25","Active",54,"999.00","0.00","0000-00-00"
16,16,3,"Monthly","2021-09-03","2021-10-03","Active",1,"299.00","0.00","0000-00-00"
17,17,1,"Annual","2021-02-27","2022-02-27","Active",2,"0.00","0.00","0000-00-00"
18,18,3,"Annual","2022-09-06","2023-09-06","Active",3,"249.17","0.00","0000-00-00"
19,19,6,"Monthly","2022-05-23","2022-06-22","Active",101,"1600.00","0.00","0000-00-00"
20,20,2,"Monthly","2021-08-10","2021-09-09","Active",4,"99.00","0.00","0000-00-00"
21,21,3,"Monthly","2023-06-08","2026-09-08","Active",8,"269.10","10.00","0000-00-00"
22,22,1,"Annual","2023-06-13","2024-06-12","Active",2,"0.00","0.00","0000-00-00"
23,23,4,"Monthly","2022-12-15","2023-01-14","Active",24,"599.00","0.00","0000-00-00"
24,24,6,"Monthly","2022-05-24","2022-06-23","Active",18,"1600.00","0.00","0000-00-00"
25,25,5,"Annual","2022-08-13","2023-08-13","Active",3,"832.50","0.00","0000-00-00"
26,26,3,"Monthly","2021-08-01","0000-00-00","Cancelled",12,"284.05","5.00","2022-05-26"
27,27,4,"Monthly","2021-04-04","0000-00-00","Cancelled",27,"599.00","0.00","2022-07-06"
28,28,2,"Monthly","2021-03-30","0000-00-00","Cancelled",5,"99.00","0.00","2021-11-04"
29,29,4,"Annual","2022-08-03","2023-08-03","Active",23,"499.17","0.00","0000-00-00"
30,30,2,"Annual","2022-10-02","2023-10-02","Active",2,"82.50","0.00","0000-00-00"
31,31,3,"Monthly","2022-03-31","2022-04-30","Active",10,"299.00","0.00","0000-00-00"
32,32,3,"Annual","2022-04-01","2023-04-01","Active",13,"249.17","0.00","0000-00-00"
33,33,2,"Monthly","2021-03-05","2021-04-04","Active",3,"99.00","0.00","0000-00-00"
34,34,4,"Monthly","2023-07-12","2023-07-26","Past Due",27,"479.20","20.00","0000-00-00"
35,35,4,"Annual","2021-12-27","2022-12-27","Active",29,"399.33","20.00","0000-00-00"
36,36,2,"Monthly","2021-09-08","2021-09-25","Past Due",3,"99.00","0.00","0000-00-00"
37,37,4,"Annual","2023-06-29","2024-06-28","Active",16,"399.33","20.00","0000-00-00"
38,38,2,"Annual","2021-10-07","2022-10-07","Active",3,"82.50","0.00","0000-00-00"
39,39,4,"Annual","2022-08-16","2023-08-16","Active",9,"499.17","0.00","0000-00-00"
40,40,5,"Monthly","2021-03-27","2021-04-26","Active",73,"849.15","15.00","0000-00-00"
41,41,3,"Monthly","2021-11-09","2021-12-09","Active",3,"239.20","20.00","0000-00-00"
42,42,2,"Annual","2021-08-14","2022-08-14","Active",3,"82.50","0.00","0000-00-00"
43,43,5,"Annual","2023-04-04","2023-04-22","Past Due",2,"832.50","0.00","0000-00-00"
44,44,2,"Annual","2023-02-24","2023-03-14","Past Due",2,"66.00","20.00","0000-00-00"
45,45,2,"Monthly","2023-03-23","2023-04-22","Active",1,"99.00","0.00","0000-00-00"
46,46,1,"Monthly","2023-06-23","2023-07-01","Past Due",2,"0.00","0.00","0000-00-00"
